Data,Maceió,Aracaju,Recife,Salvador,João Pessoa,Natal,Fortaleza,Teresina,São Luiz
012008,,,,,,,,,
022008,,,,,,,,,
032008,,,,,,,,,
042008,,,,,,,,,
052008,,,,,,,,,
062008,,,,,,,,,
072008,,,,,,,,,
082008,,,,,,,,,
092008,,,,,,,,,
102008,,,,,,,,,
112008,,,,,,,,,
122008,,,,,,,,,
012009,,,,,,,,,
022009,,,,,,,,,
032009,,,,,,,,,
042009,,,,,,,,,
052009,,,,,,,,,
062009,,,,,,,,,
072009,,,,,,,,,
082009,,,,,,,,,
092009,,,,,,,,,
102009,,,,,,,,,
112009,,,,,,,,,
122009,,,,,,,,,
012010,,,,,,,,,
022010,,,,,,,,,
032010,,,,,,,3533,,
042010,,,,,,,3537,,
052010,,,,,,,3576,,
062010,,,3154,,,,3615,,
072010,,,3151,,,,3718,,
082010,,,3185,3310,,,3765,,
092010,,,3253,3280,,,3842,,
102010,,,3321,3311,,,3859,,
112010,,,3368,3341,,,3866,,
122010,,,3395,3395,,,3833,,
012011,,,3421,3404,,,3819,,
022011,,,3468,3424,,,3846,,
032011,,,3538,3460,,,3920,,
042011,,,3664,3490,,,3997,,
052011,,,3789,3509,,,4087,,
062011,,,3906,3489,,,4187,,
072011,,,4023,3494,,,4283,,
082011,,,4142,3506,,,4374,,
092011,,,4242,3537,,,4437,,
102011,,,4293,3572,,,4490,,
112011,,,4336,3600,,,4514,,
122011,,,4438,3626,,,4540,,
012012,,,4590,3661,,,4557,,
022012,,,4737,3738,,,4593,,
032012,,,4837,3739,,,4620,,
042012,,,4904,3716,,,4623,,
052012,,,4994,3669,,,4734,,
062012,,,5032,3746,,,4858,,
072012,,,5065,3813,,,5025,,
082012,,,5073,3853,,,5094,,
092012,,,5127,3847,,,5118,,
102012,,,5184,3861,,,5064,,
112012,,,5206,3909,,,5013,,
122012,,,5229,3990,,,5044,,
012013,,,5221,4047,,,5214,,
022013,,,5169,4100,,,5358,,
032013,,,5200,4100,,,5324,,
042013,,,5278,4116,,,5311,,
052013,,,5429,4130,,,5339,,
062013,,,5548,4198,,,5375,,
072013,,,5617,4273,,,5422,,
082013,,,5668,4342,,,5433,,
092013,,,5740,4377,,,5522,,
102013,,,5818,4385,,,5600,,
112013,,,5872,4390,,,5708,,
122013,,,5931,4415,,,5755,,
012014,,,5990,4445,,,5779,,
022014,,,6044,4471,,,5826,,
032014,,,6086,4508,,,5908,,
042014,,,6127,4528,,,5989,,
052014,,,6146,4563,,,6054,,
062014,,,6160,4589,,,6091,,
072014,,,6166,4620,,,6135,,
082014,,,6199,4642,,,6139,,
092014,,,6164,4682,,,6144,,
102014,,,6201,4705,,,6146,,
112014,,,6250,4733,,,6182,,
122014,,,6344,4728,,,6215,,
012015,,,6381,4769,,,6304,,
022015,,,6379,4756,,,6288,,
032015,,,6337,4749,,,6271,,
042015,,,6358,4792,,,6373,,
052015,,,6365,4801,,,6417,,
062015,,,6363,4812,,,6433,,
072015,,,6368,4830,,,6444,,
082015,,,6370,4848,,,6475,,
092015,,,6368,4850,,,6506,,
102015,,,6355,4846,,,6539,,
112015,,,6344,4840,,,6552,,
122015,,,6346,4842,,,6588,,
012016,,,6325,4810,,,6607,,
022016,,,6311,4788,,,6597,,
032016,,,6285,4794,,,6544,,
042016,,,6281,4816,,,6535,,
052016,,,6276,4845,,,6530,,
062016,,,6262,4868,,,6582,,
072016,,,6259,4882,,,6616,,
082016,,,6265,4886,,,6661,,
092016,,,6298,4905,,,6661,,
102016,,,6334,4919,,,6663,,
112016,,,6371,4947,,,6646,,
122016,,,6397,4961,,,6643,,
012017,,,6347,4964,,,6589,,
022017,,,6327,4981,,,6531,,
032017,,,6286,4987,,,6468,,
042017,,,6268,4985,,,6434,,
052017,,,6227,4976,,,6444,,
062017,,,6222,4959,,,6481,,
072017,,,6245,4936,,,6474,,
082017,,,6273,4929,,,6445,,
092017,,,6298,4933,,,6392,,
