Data,Maceió,Aracaju,Recife,Salvador,João Pessoa,Natal,Fortaleza,Teresina,São Luiz
12008,,,,,,,,,
22008,,,,,,,,,
32008,,,,,,,,,
42008,,,,,,,,,
52008,,,,,,,,,
62008,,,,,,,,,
72008,,,,,,,,,
82008,,,,,,,,,
92008,,,,,,,,,
102008,,,,,,,,,
112008,,,,,,,,,
122008,,,,,,,,,
12009,,,,,,,,,
22009,,,,,,,,,
32009,,,,,,,,,
42009,,,,,,,,,
52009,,,,,,,,,
62009,,,,,,,,,
72009,,,,,,,,,
82009,,,,,,,,,
92009,,,,,,,,,
102009,,,,,,,,,
112009,,,,,,,,,
122009,,,,,,,,,
12010,,,,,,,,,
22010,,,,,,,,,
32010,,,,,,,3533.0,,
42010,,,,,,,3537.0,,
52010,,,,,,,3576.0,,
62010,,,3154.0,,,,3615.0,,
72010,,,3151.0,,,,3718.0,,
82010,,,3185.0,3310.0,,,3765.0,,
92010,,,3253.0,3280.0,,,3842.0,,
102010,,,3321.0,3311.0,,,3859.0,,
112010,,,3368.0,3341.0,,,3866.0,,
122010,,,3395.0,3395.0,,,3833.0,,
12011,,,3421.0,3404.0,,,3819.0,,
22011,,,3468.0,3424.0,,,3846.0,,
32011,,,3538.0,3460.0,,,3920.0,,
42011,,,3664.0,3490.0,,,3997.0,,
52011,,,3789.0,3509.0,,,4087.0,,
62011,,,3906.0,3489.0,,,4187.0,,
72011,,,4023.0,3494.0,,,4283.0,,
82011,,,4142.0,3506.0,,,4374.0,,
92011,,,4242.0,3537.0,,,4437.0,,
102011,,,4293.0,3572.0,,,4490.0,,
112011,,,4336.0,3600.0,,,4514.0,,
122011,,,4438.0,3626.0,,,4540.0,,
12012,,,4590.0,3661.0,,,4557.0,,
22012,,,4737.0,3738.0,,,4593.0,,
32012,,,4837.0,3739.0,,,4620.0,,
42012,,,4904.0,3716.0,,,4623.0,,
52012,,,4994.0,3669.0,,,4734.0,,
62012,,,5032.0,3746.0,,,4858.0,,
72012,,,5065.0,3813.0,,,5025.0,,
82012,,,5073.0,3853.0,,,5094.0,,
92012,,,5127.0,3847.0,,,5118.0,,
102012,,,5184.0,3861.0,,,5064.0,,
112012,,,5206.0,3909.0,,,5013.0,,
122012,,,5229.0,3990.0,,,5044.0,,
12013,,,5221.0,4047.0,,,5214.0,,
22013,,,5169.0,4100.0,,,5358.0,,
32013,,,5200.0,4100.0,,,5324.0,,
42013,,,5278.0,4116.0,,,5311.0,,
52013,,,5429.0,4130.0,,,5339.0,,
62013,,,5548.0,4198.0,,,5375.0,,
72013,,,5617.0,4273.0,,,5422.0,,
82013,,,5668.0,4342.0,,,5433.0,,
92013,,,5740.0,4377.0,,,5522.0,,
102013,,,5818.0,4385.0,,,5600.0,,
112013,,,5872.0,4390.0,,,5708.0,,
122013,,,5931.0,4415.0,,,5755.0,,
12014,,,5990.0,4445.0,,,5779.0,,
22014,,,6044.0,4471.0,,,5826.0,,
32014,,,6086.0,4508.0,,,5908.0,,
42014,,,6127.0,4528.0,,,5989.0,,
52014,,,6146.0,4563.0,,,6054.0,,
62014,,,6160.0,4589.0,,,6091.0,,
72014,,,6166.0,4620.0,,,6135.0,,
82014,,,6199.0,4642.0,,,6139.0,,
92014,,,6164.0,4682.0,,,6144.0,,
102014,,,6201.0,4705.0,,,6146.0,,
112014,,,6250.0,4733.0,,,6182.0,,
122014,,,6344.0,4728.0,,,6215.0,,
12015,,,6381.0,4769.0,,,6304.0,,
22015,,,6379.0,4756.0,,,6288.0,,
32015,,,6337.0,4749.0,,,6271.0,,
42015,,,6358.0,4792.0,,,6373.0,,
52015,,,6365.0,4801.0,,,6417.0,,
62015,,,6363.0,4812.0,,,6433.0,,
72015,,,6368.0,4830.0,,,6444.0,,
82015,,,6370.0,4848.0,,,6475.0,,
92015,,,6368.0,4850.0,,,6506.0,,
